Lat,Long,Temperature,Humidity,Cloudiness,Wind Speed
-7.7543,113.215897,58.91,95,77,2.3
23.01667,76.716667,77,100,75,5.82
50.003769,18.47205,66.9,55,20,10.29
33.263378,115.361076,71.87,73,1,2.17
40.897598,-74.015968,64.87,64,90,10.29
50.88681,3.89014,66.56,45,99,11.41
37.962502,23.61972,84.42,29,20,6.93
43.856392,25.970831,80.01,38,0,4
43.339039,-1.78938,68.94,60,20,8.05
-6.9816,109.140701,69.53,90,0,7.07
33.19973,120.457802,72.23,96,46,10
33.728352,-117.146423,69.3,77,1,1.86
10.63333,-61.383331,86.77,79,20,5.82
52.6329,29.738899,71.33,59,49,1.68
23.153891,-81.923607,84.69,83,40,2.24
52.200001,0.11667,63.36,63,75,19.46
-8.60111,-38.568611,88.43,26,26,21.12
41.80843,-72.249519,60.39,82,1,8.05
9.23333,78.783333,88.43,47,39,17.78
35.25,136.25,79.5,88,20,9.17
15.35472,44.206669,73.85,19,100,25.46
51.037399,21.07126,68.25,45,0,5.82
27.319441,110.103058,74.21,70,0,1.7
45.630379,9.15224,66.06,68,75,4.7
31.866671,35.450001,84.54,58,0,10.29
39.98333,-0.03333,76.64,47,76,9.17
10.63504,-85.437721,76.87,65,0,4.7
50.79509,-1.12902,62.47,82,75,12.75
58.313061,82.90889,49.19,84,1,6.46
51.12645,7.90333,67.12,42,0,10.29
40.421669,49.964439,78.8,65,0,14.99
16.75,-92.633331,75.2,83,75,2.24
38.821388,65.653061,80.6,24,0,11.41
38.663109,-90.577072,77.2,74,1,8.05
20.21722,-75.998894,89.6,43,20,2.24
31.21452,31.357981,80.69,73,0,17.16
46.845181,40.308338,79.97,34,100,12.59
31.70932,-98.991158,81.28,57,1,6.93
26.22611,78.226112,90.05,60,83,0.67
-31.493299,-68.538383,46.67,39,62,5.21
51.783329,11.15,68.31,26,0,3
32.429729,73.577454,94.55,38,0,5.82
33.76667,130.466675,82.58,62,100,9.17
36.509209,-86.885002,71.33,73,1,5.77
44.352581,2.57338,68.58,37,0,11.41
24.9,78.150002,81.95,77,62,1.03
36.333328,139.449997,76.86,83,20,3.36
-1.93333,-79.966667,69.8,73,75,9.17
52.21167,5.2875,64.15,59,40,24.16
32.089821,121.073547,76.33,90,97,1.99
44.74667,19.690001,80.2,30,0,5.82
35.020889,40.453461,95.45,18,0,6.26
30.72508,31.67148,95,36,0,13.87
34.774529,-96.678337,77.97,65,1,3.36
27.950001,80.76667,86.09,67,19,3.58
32.220699,-98.202263,79.7,65,1,3.36
39.683331,-0.26667,78.22,47,76,9.17
36.766392,3.47717,84.2,51,20,27.51
42.395931,-71.178673,62.98,68,75,11.41
32.826481,3.7669,86.92,37,40,16.11
69.40583,86.17778,51.8,100,90,6.71
31.70619,35.200321,83.91,58,0,10.29
-20.783331,117.133331,61.61,93,0,7.31
41.343571,2.03659,76.71,38,0,11.41
28.450001,77.699997,89.67,79,75,3.36
-31.420219,-63.050018,56.93,56,98,4.88
-23.433889,-45.07111,64.4,77,90,11.41
58.045559,60.553329,49.73,92,78,3.33
37.236179,9.91448,83.55,47,20,17.22
37.595829,-122.019173,58.26,87,90,5.82
31.783331,119.966667,77.16,86,1,7.61
30.94154,31.29151,86.45,47,0,15.57
50.589691,16.812389,65.05,42,0,2.24
43.666939,18.976391,65.35,100,75,4.7
50.155949,18.77924,66.96,48,20,2.24
46.318359,-72.566322,57.99,76,90,4.7
40.435829,70.610283,72.95,28,0,9.6
31.18248,35.699989,84.2,39,0,16.11
19.383329,74.650002,75.65,82,100,18.41
51.389141,0.54863,61.9,72,75,18.34
17.66667,75.333328,74.21,81,100,20.6
38.879181,-99.326767,71.31,83,20,14.99
33.394272,-104.523018,73.45,49,1,4.7
21.466669,95.383331,82.4,83,75,6.93
36.60498,34.308361,79.61,51,0,9.75
18.200001,-98.050003,66,54,100,1.79
41.415329,-81.565964,64.85,68,1,4.59
38.041351,23.54295,84.33,29,20,6.93
18.58182,-68.404312,84.2,79,75,3.36
50.625622,6.94911,66.65,42,0,4.7
56.861938,35.893059,65.93,65,0,3.67
15.3525,120.832703,80.6,88,75,4.7
-11.31667,40.349998,77.45,53,25,10.31
36.709042,67.11087,81.68,17,5,6.93
28.216667,78.25,86.81,65,24,5.73
10.21667,-64.616669,81.77,77,78,11.1
24.17222,56.888611,96.8,47,78,8.05
48.98333,2.23333,70.27,37,0,9.17
45.780949,-122.533432,61.97,77,1,0.72
41.141701,-87.875038,68.11,82,90,4.7
40.74427,-73.482071,65.5,68,90,9.17
20.27194,81.493057,75.47,95,100,10.94
41.335911,-75.996307,60.06,77,1,5.3
56.85796,40.536919,62.51,75,67,7.38
23.01667,73.066673,87.8,84,75,10.25
22.450001,77.466667,79.79,89,100,7.49
-16.1,46.633331,80.6,69,20,12.75
50.51667,12.4,64.35,54,75,4.7
36.049999,139.266663,79.68,83,20,3.36
32.954571,-97.015007,82.49,58,1,6.93
40.766941,29.916941,77.49,60,75,11.41
13.51824,99.954689,76.37,79,92,4.5
-21.76417,-43.350281,63,87,90,9.17
30.15,74.183327,95.81,43,0,9.55
27.433331,77.099998,89.69,61,31,3.51
26.35869,-80.083099,86.04,84,40,9.17
37.152222,127.070557,78.13,69,75,5.82
-34.726391,-56.220001,55.81,67,0,12.75
-37.744961,144.800491,49.03,76,75,21.92
54.900002,23.9,66.2,55,40,12.75
16.545309,104.723511,77.09,90,96,3.02
18.9,77.849998,75.47,90,100,14.14
41.82399,-71.412827,63.14,82,1,9.17
34.04845,-4.42795,95,24,40,13.87
3.27833,32.886669,74.93,89,83,4.85
38.840279,-97.61142,73.51,83,40,10.29
48.748379,30.22184,73.67,48,100,6.73
42.249611,42.699741,78.8,78,75,8.05
27.716667,77.5,89.69,59,51,4.65
43.850121,-79.032883,65.73,68,75,9.17
51.7575,4.16528,64.72,55,90,9.17
1.51,103.514099,84.07,74,75,10.29
55.952061,-3.19648,60.62,72,40,17.22
32.814018,-96.948891,82.62,58,1,4.47
53.0961,-1.38832,60.91,87,40,13.87
47.70911,40.214432,68,77,40,22.37
21.97473,96.083588,82.4,83,75,6.93
36.82098,-76.368828,70.92,94,90,28.86
43.122501,132.358337,69.8,100,75,2.24
-15.21194,-75.110283,58.19,86,100,12.35
21.816669,87.216667,81.41,87,96,7.36
40.95713,16.920389,85.06,30,40,11.41
-8.51444,-35.377781,80.6,65,40,18.34
43.048119,-76.147423,63.34,68,1,6.93
42.0625,20.65333,84.2,32,40,10.29
9.45,77.816673,91.4,46,75,16.11
41.955029,-87.940071,67.68,82,90,10.29
6.99041,-5.7442,86,74,75,6.93
9.96667,77.800003,91.4,46,75,16.11
51.501678,7.1756,67.51,42,0,10.29
47.902649,20.373289,69.89,50,100,12.08
31.6,131.366669,77.27,94,100,12.46
35.854439,139.968887,80.19,88,20,3.36
39.65287,-78.76252,64.44,77,90,4.7
-23.546671,-47.437778,68,68,75,14.99
41.808922,-88.011169,67.78,83,90,5.82
34.187988,71.762863,83.03,64,0,1.1
50.666672,3.08333,65.39,52,90,16.11
34.783699,47.600399,93.2,8,0,9.17
26.549999,82.650002,84.29,80,75,5.84
17.33667,96.479721,77,94,90,4.7
19.65,73.133331,81.84,88,90,8.05
8.81667,40.51667,76.01,59,41,1.83
58.3013,57.813099,54.23,68,93,0.38
41.020828,40.521938,77,73,75,5.82
25.383329,82.183327,89.6,70,20,3.36
47.066669,51.866669,73.4,33,0,13.42
45.34306,14.40917,63.63,56,75,12.75
36.878181,10.32466,82.87,33,20,16.11
6.54559,-7.49659,79.25,83,100,3.36
28.647779,121.259438,74.97,88,0,4.45
59.60334,60.578701,49.91,83,0,1.3
40.588669,-83.128517,63.77,67,1,4.23
19.83333,-101.716667,66.2,82,75,2.77
32.75222,12.72778,78.89,66,60,12.15
50.783138,16.030371,64.69,42,0,2.24
55.86515,-4.25763,58.86,82,90,14.99
-3.73611,-38.653061,86,55,75,19.46
17.62944,78.091667,75.38,100,40,5.82
40.110592,-88.207268,69.37,77,90,10.29
22.586109,88.921387,86,79,40,5.82
48.062519,38.516651,77.45,42,64,13.98
48.436039,17.021879,68.31,53,75,3.36
50.349998,7.6,66.92,45,20,6.93
37.879169,114.651672,69.8,88,0,2.24
47.912891,11.42166,57.04,82,75,6.93
20.466669,84.23333,73.85,96,100,6.96
59.326672,14.52386,57.49,71,75,9.17
38.687119,-4.10734,81.7,30,0,3.36
47.049999,8.26274,57.51,87,75,5.82
-26.919439,-49.066109,54.72,93,75,9.17
19.25,-98.183327,55.4,82,75,1.99
36.784439,119.946388,77,83,0,6.71
27.65,79.949997,89.87,59,97,8.97
45.033329,25.85,81.32,28,0,6.93
49.948391,15.26816,65.82,52,0,3.36
6.03333,102.283333,84.04,83,75,5.82
45.53455,-73.90168,58.53,72,75,9.17
45.183331,124.816673,67.73,90,0,5.14
30.76667,72.433327,103.37,17,0,11.23
53.23333,8.8,64,52,40,16.11
37.501671,122.113609,78.01,75,100,8.93
51.549999,7.21667,67.17,42,0,10.29
-6.75,38.116669,86,40,40,11.41
48.25,11.65,59.56,67,40,8.05
34.746479,-92.289589,79.99,83,1,3.24
59.05328,10.03517,56.66,82,75,11.41
27.70516,68.857384,104,43,40,8.3
42.682789,-89.018723,66.65,72,90,13.87
48.84893,17.132441,67.5,48,0,8.05
38.01667,23.700001,84.34,29,20,6.93
29.4,77.199997,85.01,72,56,5.08
52.9855,22.243191,69.01,43,0,5.57
33.808128,10.99228,82.4,42,0,11.41
19.617451,37.216438,99.59,24,15,10.07
35.709148,10.67397,87.35,48,20,13.87
41.45171,-82.035423,65.34,68,40,5.82
48.835411,2.62998,69.84,37,0,9.17
59.743889,10.20449,55.99,87,75,11.41
23.83333,72.116669,84.83,75,100,2.13
21.9,87.533333,82.13,86,86,7.38
40.099998,64.683327,73.4,31,0,6.93
46.716671,26.700001,78.22,34,0,6.93
-20.087219,-45.29361,82.67,43,100,8.63
18.15,-94.400002,82.4,78,5,3.62
13.48333,-88.466667,82.4,74,0,2.24
39.956219,-75.057953,66.2,72,90,8.05
19.616671,76.699997,77.27,81,100,16.11
34.185829,131.47139,79.54,94,75,20.8
45.427601,11.95941,64.54,88,75,19.46
49.378059,8.58194,68.65,42,0,3.36
6.17194,-75.611389,63.41,82,90,4.7
29.4,78.683327,82.13,79,7,5.1
48.6511,2.41406,70.36,33,0,9.17
-26.53743,-59.341579,75.65,59,1,5.64
22.98333,79.866669,82.4,78,40,20.8
18.614719,-99.318062,68,72,75,6.93
53.673431,-1.69636,60.71,62,40,25.28
35.64547,136.055801,78.01,88,23,6.85
53.365829,-6.49556,62.17,67,75,17.22
43.583328,127.566673,64.67,91,100,2.04
43.658989,145.131973,61.97,85,100,2.84
12.93333,100.883331,87.15,70,20,6.93
38.104439,30.548611,76.8,47,75,8.05
41.865051,-80.78981,64.71,77,1,3.36
52.191662,-1.70734,63.27,72,90,18.34
18.549999,-99.599998,68,72,75,6.93
45.966671,23.566669,77.72,32,40,5.82
51.237202,-2.6266,62.42,87,90,18.34
36.049999,139.516663,79.9,83,20,3.36
24.466669,75.433327,80.69,84,100,4.54
-4.5386,120.327904,68.99,98,5,4.03
23.066669,88.816673,86,79,40,5.82
22.75,72.683327,87.8,84,75,10.36
-15.61778,-46.423328,86.81,26,9,12.35
10.39972,-75.514442,87.8,70,40,3.36
58.07756,60.7202,49.73,92,78,3.33
59.37722,28.190281,63.41,66,0,12.82
40.726768,-73.6343,65.64,68,90,9.17
29.12122,71.744591,106.43,19,0,9.13
27.383333,75.966667,84.2,89,75,5.17
26.318411,-80.09977,86.09,84,40,9.17
41.250832,32.694172,75.2,53,40,11.41
-35.44437,-60.883129,50.99,73,100,11.43
45.70237,8.45813,65.32,68,75,4.7
-7.4737,112.650497,70.25,80,0,4.83
42.201149,-85.580002,61.66,82,90,6.93
-6.9875,106.551392,78.01,72,0,5.77
13.64084,16.49007,94.73,38,6,11.77
-26.152,26.159679,67.19,41,9,18.23
31.13385,30.128429,87.03,66,0,12.75
34.13945,-117.977287,70.48,56,1,3.36
18.716669,73.683327,72.05,98,100,8.08
28.38612,-80.741997,85.59,89,1,7.45
11.66361,-1.07306,90.77,53,11,3.94
18.883329,-96.933327,72.05,43,100,1.95
43.866821,-79.266296,65.73,77,20,11.41
52.299999,76.949997,55.4,87,75,2.24
50.866669,6.7,67.17,42,0,4.7
21.466669,76.400002,76.01,90,100,11.27
38.55632,69.013542,75.2,31,0,4.47
-15.03417,40.735828,82.4,51,40,23.04
37.461399,-3.92301,85.89,29,20,5.82
9.8,77.333328,66.29,98,100,5.12
-10.21278,-48.360279,93.2,21,0,8.05
56.299999,39.383331,66.29,76,1,5.1
51.166672,6.93333,67.8,39,0,13.87
26.25,81.533333,85.55,74,100,6.89
24.355,102.542221,74.34,57,100,2.77
13.5728,-8.0339,85.73,70,24,7.81
39.389839,-74.52404,66.61,82,90,16.11
-1.85,34.700001,75.83,48,87,4.65
43.258259,13.75829,71.89,88,40,11.41
62.535278,113.961113,44.6,81,0,4.47
-7.1502,111.881699,71.87,72,36,6.35
59.379299,13.50357,57.09,76,75,10.29
-30.74485,-59.64566,53.51,75,72,7.27
56.909401,62.029598,52.25,90,100,6.49
43.143219,-2.96204,64.74,56,75,10.29
37.41853,66.043579,77.27,15,0,10.13
36.810829,127.794724,79.16,69,75,4.7
7.88481,98.400078,77.79,88,40,2.86
52.997799,78.644897,56.93,79,78,13.15
9.08333,-79.283333,81.14,78,40,6.93
22.133329,75.599998,78.53,87,100,20.92
9.08333,40.866669,76.01,59,41,1.83
55.875832,21.25083,64.4,52,40,8.05
36.953739,14.53318,80.6,48,0,10.29
51.203011,58.326649,60.8,48,75,8.95
51.48333,9.4,66.65,34,0,5.82
23.25111,90.859169,82.13,83,99,10.4
26.775339,-80.058098,85.59,84,40,9.17
38.156651,13.17764,78.53,69,20,6.93
-34.617722,-68.33007,49.91,48,63,5.99
41.653938,-81.450394,65.23,63,40,3.2
24.450001,89.716667,84.29,73,100,11.27
52.41074,-1.81952,62.51,72,40,14.99
33.898071,-118.195351,69.91,78,1,2.86
64.067101,-21.93774,53.58,76,75,4.7
15.9,73.816673,80.69,83,100,19.75
-12.54667,-38.711941,80.6,61,40,12.75
5.8245,-73.034081,77.45,44,72,2.44
21.299999,-100.51667,60.28,93,92,4.41
37.589722,127.220284,77.79,94,1,9.17
-7.11389,-34.978062,82.4,65,75,23.04
32.286942,-115.105003,84.99,69,5,5.01
55.8736,85.426498,53.6,71,0,6.71
51.366669,7.7,66.94,42,0,10.29
44.750099,-79.882957,59.16,67,75,2.24
56.842781,62.711109,52.07,93,100,6.62
45.43,12.11972,64.62,93,75,18.34
43.448479,3.754,78.53,24,0,17.22
48.53157,2.62829,70.45,32,0,8.05
14.70833,-90.499443,68,72,75,9.17
56.1325,93.358887,53.6,71,0,6.31
3.03333,101.449997,83.21,70,75,4.7
36.706982,-97.085587,75.42,78,1,3.36
20.35,-102.76667,65.35,82,90,2.35
46.98333,18.933331,79.07,39,0,12.75
-26.236561,28.369381,61.61,48,30,3.36
-22.372219,-46.942219,77.25,64,0,3.36
7.85,36.650002,65.21,93,100,1.16
49.033329,104.083328,43.43,94,98,4.47
-5.70806,-78.804718,68.63,59,99,4.68
51.346031,-2.97665,62.51,87,90,18.34
15.13333,75.466667,71.15,95,100,11.92
31.047041,113.140984,74.39,71,0,7.9
60.683331,26.83333,57.94,59,34,11.41
6.60086,3.48818,80.6,83,75,3.36
24.816669,87.900002,83.93,78,81,10.29
45.18935,7.88722,60.87,88,75,4.7
6.93333,1.68333,85.01,73,5,4.34
49.834648,18.28204,65.08,55,20,10.29
46.183331,6.1,62.24,59,75,19.46
4.11667,101.283333,83.26,79,75,3.36
19.28167,-99.003326,59.68,72,90,5.82
51.983822,9.81989,67.15,42,0,9.17
31.33824,-94.729103,79.93,74,1,4.7
33.031448,-111.387337,86.13,42,1,8.05
5.70632,6.43741,74.21,95,100,5.12
48.044331,30.850731,76.01,47,73,9.4
36.139809,-96.108887,77.32,65,1,8.9
17.76667,-92.599998,77,83,75,2.13
42.018921,-87.802841,67.71,82,90,10.29
-35.116669,139.266663,49.62,83,37,7
16.011101,120.360001,76.19,91,100,8.25
43.262711,-2.92528,64.72,56,75,10.29
-17.5,-63.166672,81.37,32,75,5.82
22.690571,58.533371,92.21,14,100,3.49
25.966669,75.150002,84.83,75,70,7.02
50.278751,3.97267,67.59,45,95,11.41
-16.25,-69.083328,45.05,63,99,9.57
49.363041,16.644461,66.22,48,0,8.05
-7.33194,110.492783,80.6,69,20,2.24
19.049999,-98.199997,55.4,82,75,4.83
32.576698,51.455002,91.27,6,0,6.93
40.76704,-72.996223,65.03,68,90,12.75
48.80867,9.15719,65.16,52,20,3.36
14.66472,-90.358612,68,72,75,9.17
-27.795111,-64.26149,64.31,42,0,8.46
-3.63045,39.849918,82.4,65,20,9.17
42.774239,-73.700119,60.55,77,75,4.7
-27.494169,-48.65556,56.17,93,75,5.82
25.066669,73.883331,80.6,88,90,2.24
45.51984,-123.110657,61.74,82,1,5.82
42.042809,-88.079803,67.55,83,90,5.82
34.757778,113.648613,75.2,57,0,2.24
13.91783,100.424026,82.8,74,20,9.17
2.5228,101.795898,82.8,83,75,4.7
7.24241,-70.732361,80.6,78,40,3.36
21.135281,86.738609,82.31,87,45,2.39
41.646622,2.74135,76.3,34,20,5.82
43.566669,11.53333,73.17,47,40,14.99
41.800861,-87.937012,67.87,77,90,8.05
41.26194,-95.860832,66.16,93,1,10.29
39.14344,-77.20137,67.01,77,1,6.93
33.659828,-85.831627,73.13,69,1,6.93
41.68338,-86.250008,64.06,77,90,6.93
36.162769,0.97037,91.4,26,20,6.93
-28.971109,-51.068062,56.8,95,58,3
47.25,127.083328,65.21,89,0,4.7
47.51482,19.17028,78.55,39,0,12.75
52.354439,71.88694,52.61,78,71,9.98
43.677029,-70.371162,61.93,59,75,9.17
59.616169,16.552759,60.91,59,40,13.87
26.65868,-80.24144,85.8,84,40,9.17
48.98333,2.61667,69.69,37,0,9.17
45.222889,11.65871,65.35,82,75,7.23
41.241192,-77.001083,61.77,77,40,4.7
51.831669,4.6875,64.74,55,90,9.17
20.133329,85.099998,76.37,97,100,7.05
37.486851,37.29961,86.31,45,40,25.28
18.366671,-97.25,66,54,100,6.22
-17.639441,-71.337502,62.6,82,90,5.82
13.04328,-86.906448,82.4,65,40,3.42
8.122222,-63.549721,88.07,60,100,5.86
50.9426,7.00678,67.68,42,0,4.7
-36.776981,-59.85854,46.99,89,100,4
34.010559,71.798889,93.11,43,0,6.02
39.72139,116.32917,80.69,78,0,4.47
30.73333,131.0,82.85,82,100,34.2
12.31667,-2.46667,93.83,43,0,4.34
27.66667,113.5,84.2,58,0,4.47
-22.466669,-68.933327,63.45,10,40,5.82
-6.711,108.5037,74.39,75,0,11.18
43.916801,-80.09967,65.16,72,1,2.24
39.377331,-76.539688,66.99,82,40,12.75
34.221489,-5.70775,95,24,40,9.17
33.913712,-98.493393,79.29,61,1,3.36
55.9077,53.935501,54.23,77,34,4.94
59.047089,57.647671,55.99,64,12,1.59
18.007469,-76.783188,89.6,52,20,6.93
43.325298,-1.92707,68.4,60,20,8.05
-33.04417,-61.16806,54.66,51,100,7
12.21667,79.066673,79.43,67,88,7.18
56.156738,10.21076,57.81,82,100,5.82
50.083328,8.85,68.9,35,0,4.7
10.82306,10.77167,90.95,45,5,3.24
19.450001,-72.683327,84.2,66,20,6.93
22.4,-79.966667,86,79,20,4.7
33.156792,-94.968269,80.15,58,1,3.65
49.73333,10.16667,64.65,42,75,2.26
21.16667,75.849998,78.89,87,100,10.76
51.30719,39.217319,77,23,0,6.71
36.536282,3.8334,84.2,51,20,27.51
32.324261,74.349739,89.6,70,20,3.36
